database,beforemapping,hgu133plus2.ID
gpcr.org_structure,1BL1,205911_at
gpcr.org_structure,1D6G,211174_s_at
gpcr.org_structure,1DDV,none
gpcr.org_structure,1DDV,none
gpcr.org_structure,1DEP,none
gpcr.org_structure,1EDS,none
gpcr.org_structure,1EDV,none
gpcr.org_structure,1EDW,none
gpcr.org_structure,1EDX,none
gpcr.org_structure,1EWK,none
gpcr.org_structure,1EWT,none
gpcr.org_structure,1EWV,none
gpcr.org_structure,1F88,none
gpcr.org_structure,1FDF,none
gpcr.org_structure,1FJR,none
gpcr.org_structure,1GZM,none
gpcr.org_structure,1HLL,209869_at
gpcr.org_structure,1HO9,209869_at
gpcr.org_structure,1HOD,209869_at
gpcr.org_structure,1HOF,209869_at
gpcr.org_structure,1HZN,211174_s_at
gpcr.org_structure,1HZX,none
gpcr.org_structure,1ILP,202859_x_at|211506_s_at|207094_at
gpcr.org_structure,1ILP,202859_x_at|211506_s_at|207094_at
gpcr.org_structure,1ILQ,202859_x_at|211506_s_at|207094_at
gpcr.org_structure,1ILQ,202859_x_at|211506_s_at|207094_at
gpcr.org_structure,1ISR,none
gpcr.org_structure,1ISS,none
gpcr.org_structure,1JFP,none
gpcr.org_structure,1L4T,210381_s_at
gpcr.org_structure,1L9H,none
gpcr.org_structure,1LN6,none
gpcr.org_structure,1LVQ,208243_s_at|213436_at|207940_x_at
gpcr.org_structure,1LVR,208243_s_at|213436_at|207940_x_at
gpcr.org_structure,1NRN,203989_x_at|205754_at
gpcr.org_structure,1NRN,203989_x_at|205754_at
gpcr.org_structure,1NRO,203989_x_at|205754_at
gpcr.org_structure,1NRO,203989_x_at|205754_at
gpcr.org_structure,1NRP,203989_x_at|205754_at
gpcr.org_structure,1NRP,203989_x_at|205754_at
gpcr.org_structure,1NRQ,203989_x_at|205754_at
gpcr.org_structure,1NRQ,203989_x_at|205754_at
gpcr.org_structure,1NRR,203989_x_at|205754_at
gpcr.org_structure,1NRR,203989_x_at|205754_at
gpcr.org_structure,1NZS,none
gpcr.org_structure,1OF2,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1OF2,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1OF2,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1OGT,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1OGT,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1OGT,205019_s_at|216231_s_at|201891_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1RY1,205335_s_at|200007_at|201273_s_at
gpcr.org_structure,1SRZ,none
gpcr.org_structure,1SS2,none
gpcr.org_structure,1U19,none
gpcr.org_structure,1U34,none
gpcr.org_structure,1VQX,none
gpcr.org_structure,1XWD,214489_at|204637_at|211201_at
gpcr.org_structure,1XWD,214489_at|204637_at|211201_at
gpcr.org_structure,1XWD,214489_at|204637_at|211201_at
gpcr.org_structure,1YTV,206250_x_at|206252_s_at
