hgu133plus2ID,HGNC.symbol,number.sources,databases.foundin,times.mapped.to
205381_at,LRRC17,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
232924_at,LRRC17,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
215610_at,ALG1L2,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
237513_at,PRSS58,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
220783_at,MMP27,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
235874_at,PRSS35,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
214296_x_at,IZUMO4,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
215734_at,IZUMO4,5,signal|uniprot_secreted1|Zhang|clark|GO:0005576,5
1562601_at,UNQ6975,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
243734_x_at,NA,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
226960_at,CXCL17,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1564052_at,TREML4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1567558_at,TREML4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1567559_s_at,TREML4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
220437_at,C19orf80,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
219196_at,SCG3,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
235272_at,SBSN,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1554012_at,RSPO2,4,uniprot_secreted1|Zhang|clark|GO:0005576,8
242061_at,RSPO2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1556773_at,NA,4,uniprot_secreted1|Zhang|GO:0005576|gpcr.org_structure,7
206300_s_at,PTHLH,4,uniprot_secreted1|Zhang|GO:0005576|gpcr.org_structure,8
210355_at,PTHLH,4,uniprot_secreted1|Zhang|GO:0005576|gpcr.org_structure,7
211756_at,PTHLH,4,uniprot_secreted1|Zhang|GO:0005576|gpcr.org_structure,7
243669_s_at,PRAP1,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
233148_at,PODN,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
226522_at,PODN,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
212768_s_at,OLFM4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
207343_at,LYZL6,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
230514_s_at,NA,4,uniprot_secreted1|Zhang|clark|GO:0005576,7
1559864_at,LCN6,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
234894_at,ITIH6,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
207191_s_at,ISLR,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
220054_at,IL23A,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
213713_s_at,GLB1L2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
206540_at,GLB1L,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
238222_at,GKN2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
214076_at,GFOD2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
221028_s_at,GFOD2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223836_at,FGFBP2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
227194_at,FAM3B,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
217540_at,NXPE3,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
243011_at,NXPE3,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
243606_at,NXPE3,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
235030_at,NXPE3,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
238018_at,FAM150B,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
232807_at,FAM131A,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
232806_s_at,FAM131A,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
221904_at,FAM131A,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
218021_at,NA,4,uniprot_secreted1|Zhang|clark|GO:0005576,5
226121_at,DHRS13,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223475_at,CRISPLD1,4,uniprot_secreted1|Zhang|clark|GO:0005576,5
219873_at,COLEC11,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
207420_at,COLEC10,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
227313_at,CNPY4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
217700_at,CNPY4,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
231802_at,CLEC3A,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
227735_s_at,C10orf99,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
227736_at,C10orf99,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
211248_s_at,CHRD,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
221674_s_at,CHRD,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
229641_at,CCBE1,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
242324_x_at,CCBE1,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
243805_at,CCBE1,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
228087_at,CCDC126,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
228061_at,CCDC126,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223459_s_at,C1orf56,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
221222_s_at,C1orf56,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
230468_s_at,C1orf56,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
1554233_at,C1QTNF9,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
220208_at,ADAMTS13,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223844_at,ADAMTS13,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223317_at,ALKBH7,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
227878_s_at,ALKBH7,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
223318_s_at,ALKBH7,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
239475_at,ACPL2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
226925_at,ACPL2,4,uniprot_secreted1|Zhang|clark|GO:0005576,4
214568_at,TPSD1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
207409_at,LECT2,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
216474_x_at,NA,4,signal|uniprot_secreted1|Zhang|GO:0005576,7
217023_x_at,NA,4,signal|uniprot_secreted1|Zhang|GO:0005576,7
240420_at,AADACL2,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
206859_s_at,PAEP,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
217428_s_at,COL10A1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
205941_s_at,COL10A1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
236863_at,C17orf67,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
214411_x_at,CTRB2,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1564307_a_at,A2ML1,4,signal|uniprot_secreted1|Zhang|GO:0005576,5
210074_at,CTSV,4,signal|uniprot_secreted1|Zhang|clark,4
1558846_at,PNLIPRP3,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
220811_at,PRG3,4,signal|uniprot_secreted1|Zhang|clark,4
1553417_at,C11orf44,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1564333_a_at,PSAPL1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
218500_at,THEM6,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
219009_at,C14orf93,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1557085_at,PLAC1L,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
219506_at,C1orf54,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
211743_s_at,PRG2,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1553400_a_at,CRHR1-IT1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1553399_a_at,CRHR1-IT1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
1558611_at,CRHR1-IT1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
229770_at,GLT1D1,4,signal|uniprot_secreted1|Zhang|GO:0005576,4
